index,order,courier
67,33089.98511764706,130124.35317647058
68,32610.42011594203,134446.81569565216
69,32144.55697142857,139174.47895714286
70,31691.816732394367,143445.29774647887
71,31251.652611111112,147514.24548611112
72,30823.54778082192,151745.94783561645
73,30407.01335135135,156174.2305
74,30001.586506666667,160111.33536
75,29606.828789473682,164247.5922894737
76,29222.32451948052,169003.9702987013
77,28847.679333333333,172792.37487179486
78,28482.51883544304,176649.65026582277
79,28126.48735,181673.1356
80,27779.246765432097,185548.09524691358
81,27440.475463414634,190414.10396341464
82,27109.867325301206,194789.49946987952
83,26787.13080952381,199489.53342857142
84,26471.988094117645,204184.97462352942
85,26164.174279069768,208550.50754651162
86,25863.43664367816,213229.5951264368
87,25569.533954545455,217563.92151136365
88,25282.23582022472,221699.7933707865
89,25001.32208888889,226866.1983
90,24726.582285714285,231721.34956043956
91,24457.81508695652,235905.9625
92,24194.82782795699,240731.98395698925
93,23937.436042553192,245263.9484787234
94,23685.463031578947,249805.9688105263
95,23438.739458333333,254899.30258333334
96,23197.102969072166,259599.13965979381
97,22960.397836734694,263968.4647857143
98,22728.474626262625,268663.86776767677
99,22501.189879999998,273895.46074999997
100,22278.405821782177,278637.51553465344
101,22059.990078431372,283414.14744117646
102,21845.81541747573,288438.0388058252
103,21635.7595,293423.10270192305
104,21429.704647619048,298503.8869047619
105,21227.53762264151,303290.79491509433
106,21029.14942056075,308408.97022429906
107,20834.435074074074,312932.45872222225
108,20643.293467889907,317391.46053211007
109,20455.627163636364,322351.3077181818
110,20271.342234234235,326879.5994054054
111,20090.348107142858,331800.3366607143
112,19912.557415929205,336890.8005309735
113,19737.885859649123,341742.9011491228
114,19566.252069565217,346154.25099130435
115,19397.57748275862,350765.50413793104
116,19231.78622222222,355828.0122478632
117,19068.804983050846,360398.02570338984
118,18908.562924369748,364874.60474789917
119,18750.991566666667,369501.72336666664
120,18596.024694214877,374242.5247024793
121,18443.598262295083,379077.894852459
122,18293.650308943088,383655.86701626016
123,18146.12087096774,388797.2502983871
124,18000.951904,393960.44092799997
125,17858.087206349206,398518.0151111111
126,17717.472346456692,403342.46654330706
127,17579.05459375,407896.3345234375
128,17442.78285271318,412511.46227906976
129,17308.6076,417417.26497692306
130,17176.48082442748,421713.8935114504
131,17046.355969696968,425975.8253712121
